exchange,rank,address,depositAmountQuid,depositTransferCount,firstDepositAt,lastDepositAt,targetHotWallets,inTop100
Upbit,39,0x15e3b2a75640ae7e3dc1079fd06334fc6bf5439d,150200,2,2026-08-04T13:48:01Z,2026-08-04T14:06:43Z,0x07003d24d866a705af126a23d4ea4ac4ed85e02f;0x99c39d665c353920ada681b306a927d14978a345,true
Upbit,40,0xed0aca8812fdb07373c6aedc00d177d1272855a7,150000,1,2026-08-04T13:51:13Z,2026-08-04T13:51:13Z,0xee9345326f336b86c8d0529b8a1b874041f81877,true
Upbit,41,0x86be8035ace79b6235e4c4844ba2c2a3338e2702,146955.968958245956009375,1,2026-08-04T13:51:17Z,2026-08-04T13:51:17Z,0xee9345326f336b86c8d0529b8a1b874041f81877,true
Upbit,42,0x66bedeb80798e67b89f5af2bf57592703d0c0ebd,145852.449206926055325863,2,2026-08-04T13:40:59Z,2026-08-04T13:48:31Z,0x07003d24d866a705af126a23d4ea4ac4ed85e02f;0x99c39d665c353920ada681b306a927d14978a345,true
Upbit,43,0x80f6d5ad3a840796b983f27bb1b240c54bf18965,143839.771822186901456477,1,2026-08-04T13:48:33Z,2026-08-04T13:48:33Z,0x99c39d665c353920ada681b306a927d14978a345,true
Upbit,44,0x19b04a666f67999383c8d4b809fa0d2cfbcd6da1,137901.966944924779893352,1,2026-08-04T13:48:13Z,2026-08-04T13:48:13Z,0x99c39d665c353920ada681b306a927d14978a345,true
Upbit,45,0x31c9b1ee6b754de0b76b32199e244600ab242f59,135100,1,2026-08-04T13:25:41Z,2026-08-04T13:25:41Z,0x99c39d665c353920ada681b306a927d14978a345,true
Upbit,46,0x3d73813545c7ee068da84292f78e3ab6b660707f,131974.609005248468529502,1,2026-08-04T13:20:17Z,2026-08-04T13:20:17Z,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,true
Upbit,47,0x4f271cdf64ec0f612cfda2cd20091e22eeca226a,129439.501632162005466132,2,2026-08-04T13:47:57Z,2026-08-04T14:06:39Z,0x07003d24d866a705af126a23d4ea4ac4ed85e02f;0x99c39d665c353920ada681b306a927d14978a345,true
Upbit,48,0x74828e5393f6a1c63dcafbfc1bb3de36ca81b9be,121222.22222222222,1,2026-08-04T13:48:05Z,2026-08-04T13:48:05Z,0x99c39d665c353920ada681b306a927d14978a345,true
Upbit,49,0xcef8254ac0d7b0491ca06ca5c3901e4749523a97,119952.949154736072781129,2,2026-08-04T13:51:05Z,2026-08-04T14:06:33Z,0x07003d24d866a705af126a23d4ea4ac4ed85e02f;0xee9345326f336b86c8d0529b8a1b874041f81877,true
Upbit,50,0x975e1a8644781c14d4b2570c270cba987d8bf4df,116666,1,2026-08-04T13:30:33Z,2026-08-04T13:30:33Z,0xee9345326f336b86c8d0529b8a1b874041f81877,true
Upbit,51,0xe6a1b633adc647655d73fd514c99a16551a7e414,111111.1,1,2026-08-04T13:30:49Z,2026-08-04T13:30:49Z,0xee9345326f336b86c8d0529b8a1b874041f81877,true
Upbit,52,0x605cd22b33efefa73da23ed9c25d6589ae5bed4e,105000,2,2026-08-04T13:48:29Z,2026-08-04T13:51:19Z,0x99c39d665c353920ada681b306a927d14978a345;0xee9345326f336b86c8d0529b8a1b874041f81877,true
Upbit,53,0x878c6ac33329b70ed181aa78085363ea6cbf6fc2,100011,2,2026-08-04T13:30:47Z,2026-08-04T13:48:33Z,0x99c39d665c353920ada681b306a927d14978a345;0xee9345326f336b86c8d0529b8a1b874041f81877,true
Upbit,54,0x6dcbf9a02c37d907b90f83a75b18e77b98e85735,100000,1,2026-08-04T13:48:31Z,2026-08-04T13:48:31Z,0x99c39d665c353920ada681b306a927d14978a345,true
Upbit,55,0x8de95e3ea4e07f208948ebae550ec32395db00f5,90000,1,2026-08-04T13:25:43Z,2026-08-04T13:25:43Z,0x99c39d665c353920ada681b306a927d14978a345,true
Upbit,56,0x6cd630e29d2bc4ac692a4143a9286a3501ed5add,84190.63833,1,2026-08-04T14:06:39Z,2026-08-04T14:06:39Z,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,true
Upbit,57,0x9487f7b408b8d1f4ad5bddd439ee2e74ef7e4364,82801.733801700274972871,2,2026-08-04T13:48:35Z,2026-08-04T14:06:31Z,0x07003d24d866a705af126a23d4ea4ac4ed85e02f;0x99c39d665c353920ada681b306a927d14978a345,true
Upbit,58,0xc2a275fd99e054158d0c0bcba0539ece489ca1a5,82040.851892779975244588,1,2026-08-04T13:51:01Z,2026-08-04T13:51:01Z,0xee9345326f336b86c8d0529b8a1b874041f81877,true
Upbit,59,0x9a7de3f135c4704e7745c197c206c1297ea3558c,81062,1,2026-08-04T13:48:37Z,2026-08-04T13:48:37Z,0x99c39d665c353920ada681b306a927d14978a345,true
Upbit,60,0x7fa700beb918306743e780db727713029bbe6f97,80358.850295317660337183,2,2026-08-04T13:48:33Z,2026-08-04T13:51:05Z,0x99c39d665c353920ada681b306a927d14978a345;0xee9345326f336b86c8d0529b8a1b874041f81877,true
Upbit,61,0x21d2529e8881db085328b74e5a8ef45c4da62b40,80000,1,2026-08-04T13:48:17Z,2026-08-04T13:48:17Z,0x99c39d665c353920ada681b306a927d14978a345,true
Upbit,62,0x361364e89bbd3bcf851b818dc3c8bf963ef108f0,80000,2,2026-08-04T13:35:47Z,2026-08-04T13:48:21Z,0x07003d24d866a705af126a23d4ea4ac4ed85e02f;0x99c39d665c353920ada681b306a927d14978a345,true
Upbit,63,0x4fc0dcea6f90ad985639a752331b082aeaab1ce1,77777.777777777777777777,1,2026-08-04T13:20:27Z,2026-08-04T13:20:27Z,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,true
Upbit,64,0x433052613de25d7d4a5bcdd8e22d8474ef23259c,77378.544718401986111023,2,2026-08-04T13:48:25Z,2026-08-04T13:50:57Z,0x99c39d665c353920ada681b306a927d14978a345;0xee9345326f336b86c8d0529b8a1b874041f81877,true
Upbit,65,0xf42e52884cc828514cbe35684efdd816c2f878b1,74611.853608886434663493,2,2026-08-04T13:50:53Z,2026-08-04T13:51:13Z,0xee9345326f336b86c8d0529b8a1b874041f81877,true
Upbit,66,0x53f833ef50c7d3faada43ec2cfc476ea39461691,74208.509710234885524531,1,2026-08-04T13:48:27Z,2026-08-04T13:48:27Z,0x99c39d665c353920ada681b306a927d14978a345,true
Upbit,67,0x4a87098f142ec4bf5c4ca30d89478fc74cce9f3d,72330.150263950422901303,1,2026-08-04T13:48:27Z,2026-08-04T13:48:27Z,0x99c39d665c353920ada681b306a927d14978a345,true
Upbit,68,0x2a4a71c97b7c01d9e5df982b9e79354db8bdd18e,70100,2,2026-08-04T13:25:41Z,2026-08-04T13:48:19Z,0x99c39d665c353920ada681b306a927d14978a345,true
Upbit,69,0x36546541fd6b09ea180f0edec52e58adf5378741,66800.184748521400642217,1,2026-08-04T13:48:23Z,2026-08-04T13:48:23Z,0x99c39d665c353920ada681b306a927d14978a345,true
Upbit,70,0x1e40b94d026a58f23fdbc20b8354c816bdd3dac9,66666.666666666666666666,2,2026-08-04T13:20:15Z,2026-08-04T13:35:47Z,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,true
Upbit,71,0x2b6c539135519f4b9520a0ee91a47d86f443565a,66666.66666,1,2026-08-04T13:25:51Z,2026-08-04T13:25:51Z,0x99c39d665c353920ada681b306a927d14978a345,true
Upbit,72,0xf5332cf17a6d5b92c8b024c620a89f97940ebac7,66666.66,1,2026-08-04T13:51:17Z,2026-08-04T13:51:17Z,0xee9345326f336b86c8d0529b8a1b874041f81877,true
Upbit,73,0xf13496ae45fd5255a31ec2d16744f718139f41fc,66374.606285,1,2026-08-04T14:06:37Z,2026-08-04T14:06:37Z,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,true
Upbit,74,0x846b0a320c3397f2880b59095c4b4ae5085cdbd4,65555.666666666666666666,1,2026-08-04T13:35:31Z,2026-08-04T13:35:31Z,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,true
Upbit,75,0x2659ab99ab1aeb782081c6021479f64ba8f1dec5,65183.989404287103709832,2,2026-08-04T13:35:29Z,2026-08-04T14:06:43Z,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,true
Upbit,76,0x3e96e5cb37c153ed8aac45dc0cdb8a91f4341906,64427.524481739668026142,4,2026-08-04T13:30:53Z,2026-08-04T13:51:15Z,0x07003d24d866a705af126a23d4ea4ac4ed85e02f;0x99c39d665c353920ada681b306a927d14978a345;0xee9345326f336b86c8d0529b8a1b874041f81877,true
Upbit,77,0x4137e8670e141d2dc4da94b3dbad8ea5de4a1cfb,63013.686555418785395605,1,2026-08-04T13:48:25Z,2026-08-04T13:48:25Z,0x99c39d665c353920ada681b306a927d14978a345,true
Upbit,78,0x22bb540af3474fbe91ce27b38b3ba1777e684f64,59232.115155060997462334,2,2026-08-04T13:48:17Z,2026-08-04T13:51:15Z,0x99c39d665c353920ada681b306a927d14978a345;0xee9345326f336b86c8d0529b8a1b874041f81877,true
Upbit,79,0x7a06dcd9177a6b789449137e07c7089397e3cba1,57281.986439450795095118,2,2026-08-04T13:20:29Z,2026-08-04T13:48:33Z,0x07003d24d866a705af126a23d4ea4ac4ed85e02f;0x99c39d665c353920ada681b306a927d14978a345,true
Upbit,80,0x4bb60d0b8efdfb4e4c90a3f9ea39f5175a98a533,56191.555583829853570314,1,2026-08-04T13:48:27Z,2026-08-04T13:48:27Z,0x99c39d665c353920ada681b306a927d14978a345,true
